기간,자치구,세대,인구,인구,인구,인구,인구,인구,인구,인구,인구,세대당인구,65세이상고령자
기간,자치구,세대,합계,합계,합계,한국인,한국인,한국인,등록외국인,등록외국인,등록외국인,세대당인구,65세이상고령자
기간,자치구,세대,계,남자,여자,계,남자,여자,계,남자,여자,세대당인구,65세이상고령자
2017,합계,4220082 ,10124579 ,4957857 ,5166722 ,9857426 ,4830206 ,5027220 ,267153 ,127651 ,139502 ,2 ,1365126 
2017,종로구,73594 ,164257 ,80094 ,84163 ,154770 ,75967 ,78803 ,9487 ,4127 ,5360 ,2 ,26182 
2017,중구,60412 ,134593 ,66337 ,68256 ,125709 ,62253 ,63456 ,8884 ,4084 ,4800 ,2 ,21384 
2017,용산구,107666 ,244444 ,119423 ,125021 ,229161 ,110878 ,118283 ,15283 ,8545 ,6738 ,2 ,36882 
2017,성동구,132902 ,312711 ,154077 ,158634 ,304808 ,150368 ,154440 ,7903 ,3709 ,4194 ,2 ,41273 
2017,광진구,160798 ,372298 ,180645 ,191653 ,357703 ,174414 ,183289 ,14595 ,6231 ,8364 ,2 ,43953 
2017,동대문구,159938 ,366011 ,181185 ,184826 ,350647 ,175324 ,175323 ,15364 ,5861 ,9503 ,2 ,55718 
2017,중랑구,179132 ,412780 ,205125 ,207655 ,408226 ,203325 ,204901 ,4554 ,1800 ,2754 ,2 ,59262 
2017,성북구,187112 ,455407 ,221103 ,234304 ,444055 ,216556 ,227499 ,11352 ,4547 ,6805 ,2 ,66251 
2017,강북구,142533 ,328002 ,160252 ,167750 ,324479 ,158918 ,165561 ,3523 ,1334 ,2189 ,2 ,56530 
2017,도봉구,137378 ,346234 ,169553 ,176681 ,344166 ,168759 ,175407 ,2068 ,794 ,1274 ,3 ,53488 
2017,노원구,217619 ,558075 ,271025 ,287050 ,554403 ,269508 ,284895 ,3672 ,1517 ,2155 ,3 ,74243 
2017,은평구,202839 ,491202 ,238223 ,252979 ,486794 ,236353 ,250441 ,4408 ,1870 ,2538 ,2 ,74559 
2017,서대문구,137266 ,325028 ,155250 ,169778 ,312800 ,151144 ,161656 ,12228 ,4106 ,8122 ,2 ,49266 
2017,마포구,169408 ,385783 ,183248 ,202535 ,374915 ,178939 ,195976 ,10868 ,4309 ,6559 ,2 ,49615 
2017,양천구,176649 ,475018 ,234279 ,240739 ,471154 ,232518 ,238636 ,3864 ,1761 ,2103 ,3 ,55234 
2017,강서구,254257 ,608255 ,296175 ,312080 ,601691 ,292989 ,308702 ,6564 ,3186 ,3378 ,2 ,76032 
2017,구로구,171570 ,441559 ,221386 ,220173 ,410742 ,204003 ,206739 ,30817 ,17383 ,13434 ,2 ,58794 
2017,금천구,106066 ,253491 ,129775 ,123716 ,235154 ,119497 ,115657 ,18337 ,10278 ,8059 ,2 ,34170 
2017,영등포구,167355 ,402024 ,202400 ,199624 ,368550 ,183975 ,184575 ,33474 ,18425 ,15049 ,2 ,53981 
2017,동작구,172995 ,408493 ,198827 ,209666 ,396217 ,193255 ,202962 ,12276 ,5572 ,6704 ,2 ,57255 
2017,관악구,255352 ,520929 ,262006 ,258923 ,503297 ,253661 ,249636 ,17632 ,8345 ,9287 ,2 ,70046 
2017,서초구,173594 ,445401 ,213422 ,231979 ,441102 ,211236 ,229866 ,4299 ,2186 ,2113 ,3 ,53205 
2017,강남구,231612 ,561052 ,268941 ,292111 ,556164 ,266442 ,289722 ,4888 ,2499 ,2389 ,2 ,65060 
2017,송파구,264628 ,671173 ,326407 ,344766 ,664496 ,323147 ,341349 ,6677 ,3260 ,3417 ,3 ,76582 
2017,강동구,177407 ,440359 ,218699 ,221660 ,436223 ,216777 ,219446 ,4136 ,1922 ,2214 ,2 ,56161 
2018,합계,4263868 ,10049607 ,4910849 ,5138758 ,9765623 ,4773899 ,4991724 ,283984 ,136950 ,147034 ,2 ,1416131 
2018,종로구,73735 ,163026 ,79156 ,83870 ,153065 ,74825 ,78240 ,9961 ,4331 ,5630 ,2 ,26742 
2018,중구,61502 ,135633 ,66674 ,68959 ,125725 ,61947 ,63778 ,9908 ,4727 ,5181 ,2 ,22005 
2018,용산구,108974 ,245090 ,119766 ,125324 ,228999 ,110640 ,118359 ,16091 ,9126 ,6965 ,2 ,37640 
